categoria,pergunta,resposta,link
propinas,Quanto custam as propinas na UA?,"As propinas para cursos nacionais financiados estão definidas por lei: o valor máximo anual é 697,50 € para licenciaturas e mestrados integrados (em 2024/25). O pagamento pode ser feito numa única prestação com desconto, ou em prestações mensais de outubro a julho. Cursos internacionais e não financiados têm propinas diferentes.",https://www.ua.pt/pt/propinas
bolsas,Como pedir bolsa de estudo na UA?,"As bolsas de estudo são atribuídas pelos Serviços de Ação Social da UA (SAS/UA). A candidatura é feita online no portal da Direção-Geral do Ensino Superior (bolsas.dges.gov.pt) entre julho e novembro. A bolsa cobre propinas e pode incluir subsídio de alojamento e alimentação, conforme a situação económica do agregado familiar.",https://www.ua.pt/pt/sas/bolsas
bolsas,Que outros apoios sociais existem para alunos da UA?,"Os SAS/UA oferecem: bolsas de estudo, alojamento em residências universitárias, refeições subsidiadas nas cantinas, apoio de saúde (consultas de medicina geral, psicologia, enfermagem), e apoio de emergência para situações imprevistas. Contacto: sas@ua.pt ou presencialmente nos SAS no campus.",https://www.ua.pt/pt/sas
calendário,Como é organizado o ano letivo na UA?,O ano letivo na UA divide-se em dois semestres. O 1.º semestre decorre de meados de setembro a janeiro (com época de exames em janeiro/fevereiro). O 2.º semestre decorre de fevereiro a junho (com época de exames em junho/julho). Existe ainda uma época especial de exames em setembro. O calendário exato é publicado anualmente no site da UA.,https://www.ua.pt/pt/calendario-academico
calendário,Quando são as épocas de exames na UA?,"Existem três épocas de exames na UA: Época Normal (janeiro/fevereiro para o 1.º semestre; junho/julho para o 2.º semestre), Época de Recurso (fevereiro para o 1.º semestre; julho para o 2.º semestre) e Época Especial (setembro, para alunos finalistas ou com situações especiais aprovadas). As datas concretas estão no PACO e no site de cada departamento.",https://www.ua.pt/pt/calendario-academico
campus,Onde fica o campus da Universidade de Aveiro?,"O campus principal da UA fica em Santiago, Aveiro, Portugal (Campus Universitário de Santiago, 3810-193 Aveiro). É um campus universitário com edifícios departamentais, biblioteca, cantinas, residências, museu e lago. Fica a cerca de 10 minutos a pé da estação de comboios de Aveiro.",https://www.ua.pt/pt/campus
campus,Como chegar à UA de comboio ou autocarro?,"De comboio: a estação de Aveiro fica a cerca de 10-15 minutos a pé do campus. De autocarro: os STCP/Transdev têm linhas que passam junto ao campus. De carro: há parques de estacionamento no campus (alguns gratuitos, outros pagos). A UA também tem serviço de bicicletas partilhadas no campus.",https://www.ua.pt/pt/campus
alojamento,Como conseguir alojamento nas residências da UA?,"O alojamento nas residências universitárias da UA é gerido pelos SAS/UA. A candidatura é feita online nos SAS entre maio e julho, sendo prioritários os alunos deslocados e com menor rendimento. As residências oferecem quartos individuais e duplos com wi-fi, lavandaria e zonas comuns. Caso não haja vaga, os SAS têm uma bolsa de alojamentos privados verificados.",https://www.ua.pt/pt/sas/residencias
alojamento,Qual o custo das residências universitárias da UA?,"Os preços das residências dos SAS/UA variam conforme o tipo de quarto e rendimento do aluno (bolseiros têm valores reduzidos). Em 2024/25, os valores mensais rondam os 150 € a 250 € para bolseiros e 250 € a 400 € para não bolseiros. Consulte os SAS para os valores exatos do ano corrente.",https://www.ua.pt/pt/sas/residencias
alimentação,Onde posso comer no campus da UA?,"A UA tem várias cantinas e bares geridos pelos SAS/UA. As principais são: Cantina de Santiago, Cantina do Crasto, Cantina da Universidade e vários bares departamentais. Os preços são subsidiados: refeições completas custam cerca de 2,90 € para estudantes (bolseiros podem ter valores reduzidos). Há também cafetarias privadas no campus.",https://www.ua.pt/pt/sas/alimentacao
biblioteca,Como funciona a biblioteca da UA?,"A Biblioteca da UA (SBIDM) fica no edifício central do campus e está aberta a todos os estudantes. Oferece espaços de estudo individual e em grupo, empréstimo de livros, acesso a bases de dados científicas (IEEE, Scopus, Web of Science, etc.), impressão e digitalização. O acesso é feito com o cartão de estudante. Horário: normalmente 9h-21h em dias úteis.",https://www.ua.pt/pt/sbidm
serviços,Como pedir certidões e declarações na UA?,"Certidões e declarações (matrícula, aproveitamento, frequência) são pedidas online através do PACO (paco.ua.pt) em 'Secretaria Virtual'. A maioria das declarações fica disponível para download em formato digital em 24-48 horas úteis. Documentos que necessitem de assinatura física devem ser pedidos presencialmente nos Serviços Académicos.",https://paco.ua.pt
serviços,Como obter o cartão de estudante da UA?,"O cartão de estudante é emitido automaticamente após a matrícula. O cartão físico é levantado nos Serviços Académicos da UA (edifício do Reitoral). Serve como identificação no campus, acesso à biblioteca, descontos em transportes e comércio local. Em caso de perda, deve ser reportado e pedir um novo nos Serviços Académicos.",https://www.ua.pt/pt/cartao-estudante
serviços,Qual o horário e contacto dos Serviços Académicos da UA?,"Os Serviços Académicos da UA ficam no edifício do Reitoral, no campus de Santiago. Horário de atendimento presencial: segunda a sexta, 9h30-12h30 e 14h-16h30. Contacto: sa@ua.pt | Tel: +351 234 370 200. Muitos serviços estão disponíveis online no PACO sem necessidade de deslocação.",https://www.ua.pt/pt/servicos-academicos
mobilidade,Como participar no programa Erasmus na UA?,"A UA tem protocolos Erasmus+ com mais de 400 universidades europeias. Para candidatar: aceda ao portal da UA > Internacional > Erasmus. A candidatura é feita normalmente em janeiro/fevereiro para o ano seguinte, através do sistema de mobilidade da UA. É necessário ter aproveitamento mínimo (geralmente 60 ECTS concluídos) e nível de língua B2 no idioma do país de destino. A UA atribui bolsa Erasmus mensal para ajuda nos custos.",https://www.ua.pt/pt/erasmus
mobilidade,A UA tem acordos de mobilidade fora da Europa?,"Sim. Além do Erasmus europeu, a UA tem protocolos com universidades no Brasil, EUA, Canadá, Japão, China e países africanos lusófonos. Estes programas são geridos pelo Gabinete de Relações Internacionais (GRI) da UA. Contacto: internacional@ua.pt.",https://www.ua.pt/pt/internacional
saúde,Que serviços de saúde existem para estudantes da UA?,"Os SAS/UA oferecem serviços de saúde gratuitos ou de baixo custo para estudantes: consultas de medicina geral, enfermagem, psicologia, nutrição e medicina dentária. O Serviço de Saúde fica no edifício dos SAS no campus. É necessário marcação prévia pelo e-mail saude.sas@ua.pt ou pelo telefone dos SAS.",https://www.ua.pt/pt/sas/saude
saúde,Como aceder ao apoio psicológico na UA?,"A UA oferece apoio psicológico gratuito a todos os estudantes através do Serviço de Apoio Psicológico dos SAS. O atendimento é confidencial. Para marcar consulta: envie e-mail para psicologia.sas@ua.pt ou dirija-se presencialmente aos SAS. Em situações de crise, a UA tem também protocolo com linha de apoio psicológico 24h.",https://www.ua.pt/pt/apoio-psicologico
desporto,Que atividades desportivas existem na UA?,"A UA tem a Associação Académica de Aveiro (AAUAv) que gere um vasto leque de atividades desportivas: ginásio, piscina, campos de futebol, ténis, basquete, voleibol, atletismo, desportos aquáticos, artes marciais e muito mais. A inscrição é feita na AAUAv com valores reduzidos para estudantes. A UA participa também nos Campeonatos Nacionais Universitários (CNU).",https://www.ua.pt/pt/desporto
vida académica,O que é a AAUAv e como me associar?,"A Associação Académica da Universidade de Aveiro (AAUAv) é a associação estudantil que representa os alunos da UA. Gere a praxe académica, o desporto universitário, atividades culturais, bares académicos e defende os interesses dos estudantes. Qualquer estudante da UA pode associar-se na sede da AAUAv no campus de Santiago.",https://www.aauav.pt
vida académica,Como funciona a praxe académica na UA?,"A praxe académica na UA é organizada pela AAUAv e é voluntária. Consiste em rituais de integração dos caloiros (novos alunos) conduzidos pelos veteranos, com o objetivo de promover a camaradagem e a identidade académica. A UA tem um Código de Praxe que proíbe qualquer forma de humilhação ou coação. A participação nunca é obrigatória.",https://www.aauav.pt
dissertação,Como submeter a dissertação de mestrado na UA?,"A dissertação de mestrado deve ser submetida no RIA (Repositório Institucional da UA) em formato PDF, após aprovação pelo orientador e pelo júri. O processo é: (1) submeter o pedido de provas no PACO; (2) aguardar a marcação do júri pelos Serviços Académicos; (3) realizar a defesa pública; (4) após aprovação, submeter a versão final no RIA (ria.ua.pt) dentro de 30 dias. O Departamento emite depois a certidão de conclusão.",https://www.ua.pt/pt/dissertacao
dissertação,Qual o prazo para concluir o mestrado na UA?,"Os mestrados na UA têm geralmente duração de 2 anos (4 semestres). O Regulamento de Estudos Pós-Graduados permite que o aluno fique inscrito até 4 anos. Passado esse prazo, pode pedir prorrogação justificada aos Serviços Académicos. Recomenda-se contactar o orientador logo no início para definir o cronograma da dissertação.",https://www.ua.pt/pt/regulamento-estudos
conclusão,Como pedir o diploma na UA?,"Após concluir todas as unidades curriculares e defender a dissertação/projeto (se aplicável), o diploma é emitido automaticamente pelos Serviços Académicos. Para acelerar o processo, pode pedir formalmente nos Serviços Académicos ou via PACO. O Suplemento ao Diploma (documento europeu que descreve o percurso académico) é emitido gratuitamente junto com o diploma.",https://www.ua.pt/pt/diploma
conclusão,O que é o Suplemento ao Diploma da UA?,"O Suplemento ao Diploma é um documento europeu emitido em português e inglês que descreve detalhadamente o percurso académico do estudante: curso, departamento, unidades curriculares, notas, sistema de classificação e perfil profissional. É emitido gratuitamente pela UA junto com o diploma e é muito valorizado por empregadores europeus e para reconhecimento de graus no estrangeiro.",https://www.ua.pt/pt/diploma
regulamentos,Onde encontro o regulamento académico da UA?,"O Regulamento de Estudos da UA está disponível no Diário da República e no site da UA em www.ua.pt/pt/regulamento-estudos. Define as regras sobre inscrições, avaliação, transição de ano, prescrição, equivalências, regime de trabalhador-estudante e outros aspetos do percurso académico. Em caso de dúvida, os Serviços Académicos podem esclarecer.",https://www.ua.pt/pt/regulamento-estudos
regulamentos,O que acontece se reprovar muitas vezes na UA? (prescrição),"O regime de prescrição na UA determina que um estudante pode perder o estatuto de estudante se não cumprir requisitos mínimos de aproveitamento. As regras variam por ciclo de estudos, mas em geral: no 1.º ciclo, o aluno não pode estar inscrito mais de n+2 anos (onde n é a duração normal do curso). Verifique o Regulamento de Estudos ou contacte os Serviços Académicos para o seu caso específico.",https://www.ua.pt/pt/regulamento-estudos
geral,O que é a Universidade de Aveiro?,"A Universidade de Aveiro (UA) é uma universidade pública portuguesa fundada em 1973, localizada em Aveiro. É conhecida pela sua arquitetura moderna e inovadora no campus de Santiago. Tem cerca de 15.000 estudantes, 16 departamentos e vários institutos de investigação. É consistentemente classificada entre as melhores universidades portuguesas, com forte ligação à indústria e à investigação científica.",https://www.ua.pt
geral,Qual o e-mail e contacto geral da Universidade de Aveiro?,"Contactos gerais da UA: Site: www.ua.pt | Tel: +351 234 370 200 | Morada: Universidade de Aveiro, Campus Universitário de Santiago, 3810-193 Aveiro, Portugal. Serviços Académicos: sa@ua.pt | SAS: sas@ua.pt | Internacional: internacional@ua.pt",https://www.ua.pt/pt/contactos
geral,Como aceder ao e-mail institucional da UA?,"Todos os estudantes da UA têm um e-mail institucional no formato nmec@ua.pt (número mecanográfico). O acesso é feito em webmail.ua.pt usando as credenciais do PACO. Este e-mail é o canal oficial de comunicação com a UA e deve ser verificado regularmente, pois é usado para informações sobre matrículas, resultados e avisos importantes.",https://webmail.ua.pt
geral,O que é o eLearning da UA?,"O eLearning da UA (elearning.ua.pt) é a plataforma Moodle da universidade onde os professores disponibilizam materiais de apoio, fichas de trabalho, testes e onde ocorrem fóruns de discussão. O acesso é feito com as credenciais do PACO. Cada unidade curricular tem uma página no eLearning.",https://elearning.ua.pt
